"FixedEffects","AICc","BIC","Qm","Qmp","QE","QEp","Sigma2_ID","Sigma2_Order_Family","Sigma2_Species","Sigma2_Source","Sigma2_Study","R2m","R2c","dAICc"
"~logD + logD2 + Diet + InfraType",6457.00467943132,"6526.62628543776","16.4192599039132","0.0116720672886695","26136.60507299","0","0.1988","0.0346","0.1209","0.0758","0.15","0.0113","0.6612",36.8293577454306
"~logD + Diet + Habitat",6457.08696580368,"6509.32522865798","10.4110176254613","0.0153768257732737","26456.1866957373","0","0.2022","0.0397","0.1181","0.075","0.1384","0.0073","0.6499",36.9116441177903
"~logD + logD2 + Diet + logBM + Habitat + InfraType",6457.09000637948,"6538.29229149134","21.0723113983333","0.006957801430999","26071.7907805492","0","0.1991","0.0476","0.1192","0.0948","0.135","0.0141","0.6704",36.9146846935901
"~logD + logBM + Habitat",6457.22283342263,"6509.46109627694","10.5685034414015","0.0143033270708897","26520.153540625","0","0.202","0.047","0.1178","0.0803","0.1395","0.0072","0.6581",37.0475117367405
"~logD + logD2 + Diet + logBM + InfraType",6458.41408882221,"6533.82685735192","17.3124632680508","0.015488742599688","26087.5185274261","0","0.1989","0.0435","0.1206","0.0731","0.1493","0.0118","0.6643",38.2387671363203
"~logD + Diet + logBM",6458.49434734891,"6510.73261020322","9.25521564043618","0.0260832325494007","26634.3999401034","0","0.202","0.044","0.1191","0.0494","0.1503","0.0066","0.6448",38.3190256630205
"~logD + Diet + logBM + Habitat",6458.80470939491,"6516.83906056049","10.9919664613651","0.0266544487642352","26429.4129075746","0","0.2022","0.047","0.1179","0.0739","0.1383","0.0076","0.6536",38.6293877090202
"~logD + Habitat + InfraType",6459.62566874805,"6523.45446829819","11.9434822035051","0.035570465429026","26324.5231179722","0","0.2018","0.0364","0.1195","0.0944","0.1389","0.0081","0.6613",39.4503470621603
"~logD + Diet + Habitat + InfraType",6460.01581683578,"6529.63742284222","13.5613514970114","0.0349389443324921","26227.5399877826","0","0.2023","0.0398","0.1189","0.0738","0.1367","0.0095","0.6494",39.8404951498906
"~Habitat",6460.351999332,"6500.99317377352","3.16418150005235","0.0752701572750403","26521.0355700807","0","0.2024","0.0347","0.1177","0.097","0.137","0.0022","0.657",40.17667764611
"~logD + logBM + Habitat + InfraType",6460.390073063,"6530.01167906944","13.5116558298542","0.0355932824009344","26324.5229454833","0","0.2021","0.0479","0.1187","0.0813","0.138","0.0092","0.6594",40.2147513771106
"~logD + InfraType",6460.77733184392,"6518.81168300949","8.46892486617973","0.0758347778303088","26387.5953001654","0","0.2014","0.0312","0.1212","0.0719","0.1548","0.0059","0.6551",40.6020101580307
"~logD + Diet + InfraType",6460.90656718281,"6524.73536673294","10.5442351447655","0.0612039316543149","26277.1836038656","0","0.2019","0.0344","0.1205","0.0509","0.151","0.0076","0.6414",40.7312454969206
"~logD + logBM + InfraType",6461.05397354531,"6524.88277309545","10.6209941077421","0.0594344988698726","26384.0000743451","0","0.2017","0.0443","0.12","0.0575","0.1522","0.0074","0.6522",40.8786518594206
"~1",6461.15930999137,"6495.99948831822","1.72214949585253","0.189416592637717","26890.132844317","0","0.202","0.0299","0.1195","0.0725","0.1517","0.0012","0.6495",40.9839883054801
"~logD + Diet + logBM + Habitat + InfraType",6461.66905277202,"6537.08182130172","14.2304377115393","0.0472313389568911","26197.4084798328","0","0.2023","0.0475","0.1188","0.0715","0.1367","0.0099","0.6527",41.4937310861305
"~logBM",6461.7471221342,"6502.38829657571","1.76599948464724","0.183877950216249","26812.7018759957","0","0.2023","0.0425","0.1182","0.0633","0.1485","0.0012","0.6485",41.5718004483106
"~Diet",6461.89504979863,"6502.53622424014","1.38308834254135","0.23957578998626","26848.6859205925","0","0.2024","0.0331","0.1187","0.0586","0.1476","0.001","0.6393",41.7197281127401
"~logD + Diet + logBM + InfraType",6462.31199313218,"6531.93359913862","11.4921180724231","0.0743067372556503","26222.0050464513","0","0.202","0.0436","0.1202","0.0485","0.1503","0.0082","0.6452",42.1366714462902
"~InfraType",6466.15140325049,"6518.3896661048","1.13822595922045","0.767855108424235","26387.9140072783","0","0.2019","0.0292","0.1202","0.0856","0.1522","8e-04","0.6576",45.9760815646005
